Transaction ID,Customer ID,Timestamp,Transaction Amount,Transaction Type,Merchant Category,Location,Account Balance,Transaction Frequency,Transaction Partner,Country Code,Transaction Chain,Transaction Volume
TID0037,CID011,2023-08-12 13:56:47.465239,70789.23,deposit,luxury goods,GB,430068.8,6,Account1615,GB,5,424735.38
TID0038,CID014,2024-09-26 13:56:47.465248,10646.93,transfer,consulting,IN,469427.56,1,Account7890,IN,3,10646.93
TID0039,CID015,2023-10-10 13:56:47.465258,39924.74,purchase,investment,GB,172994.34,9,Account2566,GB,1,359322.66
TID0040,CID011,2023-11-18 13:56:47.465267,29520.39,transfer,investment,AU,196927.57,1,Account7937,AU,1,29520.39
TID0041,CID004,2023-06-06 13:56:47.465277,89940.79,deposit,investment,GB,91446.46,5,Account2099,GB,3,449703.95
TID0042,CID014,2024-05-12 13:56:47.465291,72944.24,deposit,travel,GB,429704.56,2,Account2646,GB,4,145888.48
TID0043,CID003,2023-04-16 13:56:47.465301,61770.61,withdrawal,luxury goods,AU,330415.37,6,Account7764,AU,2,370623.66
TID0044,CID007,2024-06-05 13:56:47.465315,15108.4,withdrawal,luxury goods,IN,431505.26,9,Account3141,IN,2,135975.6
TID0045,CID012,2024-11-18 13:56:47.465334,38048.33,purchase,investment,US,22622.54,6,Account5971,US,4,228289.98
TID0046,CID015,2023-03-22 13:56:47.465344,3362.62,purchase,travel,CA,440198.86,10,Account2964,CA,3,33626.2
TID0047,CID001,2023-04-08 13:56:47.465354,8512.14,purchase,real estate,CA,247544.47,8,Account2465,CA,4,68097.12
TID0048,CID015,2023-08-07 13:56:47.465364,5845.09,withdrawal,luxury goods,CA,282756.19,7,Account1207,CA,3,40915.63
TID0049,CID015,2024-05-25 13:56:47.465373,79700.69,deposit,investment,AU,476576.44,1,Account4436,AU,3,79700.69
TID0050,CID005,2022-12-01 13:56:47.465388,44584.74,withdrawal,travel,GB,210571.93,1,Account6616,GB,5,44584.74
